Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000004897,4163.615316,0.101020502,0.088594925,1.140251562,0.254181512,0.527983751
ENSG00000004948,60.02817882,-0.296278879,0.263498918,-1.124402639,0.260842253,0.535151008
ENSG00000004961,1608.153769,0.167228875,0.080811277,2.069375495,0.038510864,0.178908504
ENSG00000004975,2950.479113,0.206501311,0.070704816,2.920611684,0.00349345,0.036135432
ENSG00000005001,7518.42614,0.075987925,0.14739954,0.515523486,0.606187262,0.810724903
ENSG00000005007,8383.007515,0.00941553,0.06835565,0.13774326,0.890443329,0.956836345
ENSG00000005020,777.4694773,0.047495148,0.175539578,0.270566608,0.786724381,0.909515155
ENSG00000005022,9535.472132,0.077439647,0.08226773,0.941312553,0.346544712,0.622080748
ENSG00000005059,203.0240573,0.425185219,0.338458637,1.256239826,0.209029031,0.475287919
ENSG00000005073,127.8503365,0.830016321,0.421141084,1.970874732,0.048738206,0.206005239
ENSG00000005075,1533.718952,0.182782934,0.077374141,2.362325866,0.018160671,0.109881605
ENSG00000005100,1257.84628,-0.022553732,0.089102128,-0.253122257,0.80017374,0.916046455
ENSG00000005102,52.06645653,4.766699471,0.860191419,5.541440387,3.00E-08,4.09E-06
ENSG00000005108,2020.052639,0.114918128,0.148343098,0.774677952,0.438529983,0.694567719
ENSG00000005156,2735.553675,-0.069363788,0.137755798,-0.503527175,0.614593679,0.816325339
ENSG00000005175,1437.269803,-0.069226191,0.132678677,-0.52175823,0.601838676,0.808386592
ENSG00000005187,94.82206417,0.390778678,0.334932518,1.166738543,0.243315973,0.51615173
ENSG00000005189,249.6833089,-0.102898114,0.246549217,-0.417353238,0.676420053,0.850823999
ENSG00000005194,2523.709315,-0.069590037,0.081098299,-0.858094906,0.39084006,0.65895863
ENSG00000005206,2065.984341,0.048105231,0.075298573,0.638859794,0.522914146,0.756965528
ENSG00000005238,2681.323103,0.365799721,0.092428663,3.957643763,7.57E-05,0.002203239
ENSG00000005243,668.9462335,0.536462292,0.148170029,3.620585713,0.000293937,0.006214118
ENSG00000005249,350.5854072,1.220830515,0.570264138,2.140815868,0.03228889,0.160720152
ENSG00000005302,1024.942444,-0.010037022,0.082405241,-0.121800773,0.903056801,0.961043284
ENSG00000005339,10670.56338,0.253448227,0.175425491,1.444762823,0.148524517,0.39495126
ENSG00000005379,308.591424,0.432776311,0.249974115,1.731284501,0.083401034,0.28194859
ENSG00000005421,19.06068914,-0.219385801,0.496261292,-0.442077198,0.658433344,0.840980372
ENSG00000005436,658.8099021,-0.219970974,0.172983716,-1.27162821,0.203505249,0.469018878
ENSG00000005448,169.4073483,0.17700403,0.207457216,0.853207392,0.393544305,0.661081814
ENSG00000005469,1023.45971,-0.248233368,0.108100841,-2.296313018,0.02165799,0.123701511
ENSG00000005471,60.47119417,-0.152162197,0.262745581,-0.579123714,0.5625057,0.782534634
ENSG00000005483,5750.666557,-0.108259773,0.058375612,-1.854537693,0.063662273,0.241070868
ENSG00000005486,5707.214351,-0.060179926,0.091405891,-0.658381268,0.510293169,0.747243416
ENSG00000005513,30.53405089,-0.15580474,0.372144172,-0.418667688,0.675459013,0.850778229
ENSG00000005700,11658.64896,-0.2484891,0.103916125,-2.391246791,0.016791262,0.104645294
ENSG00000005801,1088.524883,-0.277520697,0.094300796,-2.942930596,0.003251213,0.034405329
ENSG00000005810,3874.993741,0.104499897,0.147028554,0.710745594,0.477241901,0.722871582
ENSG00000005812,1992.593187,0.071765721,0.129802091,0.552885711,0.580341672,0.794524397
ENSG00000005882,636.3599372,0.334891951,0.239187419,1.400123601,0.161476309,0.414445019
ENSG00000005884,8808.245498,0.327239202,0.083619381,3.913437274,9.10E-05,0.002548763
