Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000004961,1608.153769,-0.047127591,0.081427879,-0.578764813,0.562747877,0.9349493
ENSG00000004975,2950.479113,0.034972805,0.07116901,0.491404962,0.623140056,0.944785495
ENSG00000005001,7518.42614,-0.073709339,0.1474831,-0.499781596,0.617228871,0.943440592
ENSG00000005007,8383.007515,-0.094181376,0.068506886,-1.374772398,0.169202018,0.772371353
ENSG00000005020,777.4694773,0.022533748,0.175759467,0.128207876,0.897984467,0.985806753
ENSG00000005022,9535.472132,0.022956497,0.082355626,0.278748377,0.780437934,0.972700376
ENSG00000005059,203.0240573,0.662266271,0.339560813,1.950361306,0.05113307,0.609442997
ENSG00000005073,127.8503365,0.021339176,0.434227423,0.049142857,0.96080545,0.994060185
ENSG00000005075,1533.718952,-0.155370728,0.078462804,-1.980183239,0.047682943,0.599953246
ENSG00000005100,1257.84628,-0.052668989,0.089546277,-0.588176195,0.556414034,0.933755323
ENSG00000005102,52.06645653,0.498005798,0.946216293,0.526312854,0.598670853,0.939254674
ENSG00000005108,2020.052639,0.303077796,0.148442838,2.041713835,0.041179926,0.570900858
ENSG00000005156,2735.553675,-0.324716121,0.137901805,-2.354690875,0.01853812,0.447664408
ENSG00000005175,1437.269803,0.194127775,0.132805856,1.461741078,0.143812176,0.750720187
ENSG00000005187,94.82206417,0.401900994,0.336780505,1.193361815,0.232727703,0.815108519
ENSG00000005189,249.6833089,-0.120654529,0.247391341,-0.487707164,0.625757277,0.944785495
ENSG00000005194,2523.709315,-0.115614658,0.081497275,-1.4186322,0.156006273,0.757860585
ENSG00000005206,2065.984341,-0.159579391,0.076044949,-2.098487711,0.035862084,0.551009754
ENSG00000005238,2681.323103,0.131528436,0.092864199,1.416352454,0.156672337,0.758488026
ENSG00000005243,668.9462335,0.031516889,0.14990055,0.210251991,0.833471003,0.979439955
ENSG00000005249,350.5854072,0.704621244,0.575666703,1.224009032,0.22094882,0.81009328
ENSG00000005302,1024.942444,0.002123081,0.083096918,0.025549454,0.979616703,0.997260255
ENSG00000005339,10670.56338,-0.047436479,0.175469083,-0.270340956,0.78689796,0.973156381
ENSG00000005379,308.591424,0.356161363,0.251816393,1.414369247,0.157253515,0.759318133
ENSG00000005436,658.8099021,0.081333357,0.172791316,0.470702805,0.637852981,0.947134762
ENSG00000005448,169.4073483,0.064799887,0.210258202,0.30819196,0.75793627,0.968954136
ENSG00000005469,1023.45971,0.000404629,0.108568556,0.003726948,0.997026333,0.999253991
ENSG00000005471,60.47119417,-0.256178509,0.266244864,-0.962191367,0.335953485,0.868252104
ENSG00000005483,5750.666557,0.03365297,0.0584949,0.575314601,0.565078548,0.9355448
ENSG00000005486,5707.214351,-0.113561092,0.091545927,-1.240482195,0.214797096,0.807331858
ENSG00000005513,30.53405089,0.05426174,0.382434437,0.141885078,0.887170781,0.983955169
ENSG00000005700,11658.64896,0.085469629,0.103904998,0.822574756,0.410749859,0.897265877
ENSG00000005801,1088.524883,-0.039168159,0.094461959,-0.414644785,0.678401958,0.955345793
ENSG00000005810,3874.993741,0.123744651,0.147087283,0.841300812,0.400179436,0.893777805
ENSG00000005812,1992.593187,0.146417815,0.129922383,1.126963747,0.259757809,0.830571531
ENSG00000005882,636.3599372,0.14660874,0.240273657,0.610174007,0.541746546,0.930843763
ENSG00000005884,8808.245498,-0.028773385,0.083832773,-0.343223588,0.731430261,0.966168744
ENSG00000005889,1834.473441,-0.002159116,0.128154259,-0.016847787,0.986558047,0.998624836
ENSG00000005893,18478.68044,0.095522451,0.088342674,1.081271906,0.27957618,0.84244026
ENSG00000006007,8130.714576,-0.001898276,0.074644524,-0.025430885,0.979711276,0.997260255
ENSG00000006015,602.8821096,-0.149257153,0.09652814,-1.546255354,0.12204291,0.729103148
ENSG00000006016,92.39911789,0.213100409,0.343888671,0.61967848,0.535469486,0.92925435
ENSG00000006025,279.0567412,-0.130587394,0.208624941,-0.62594335,0.531352099,0.9286583
ENSG00000006042,7802.469076,-0.055574836,0.105335391,-0.527598894,0.597777761,0.939254674
ENSG00000006047,310.0153021,-0.297650132,0.250616432,-1.187672052,0.234962639,0.815108519
ENSG00000006062,411.564002,0.142386499,0.156443082,0.910148904,0.362743986,0.881634303
ENSG00000006118,9880.889826,-0.148178842,0.130379033,-1.136523552,0.255737514,0.825879855
ENSG00000006125,23206.07586,-0.01326982,0.055438194,-0.239362411,0.810824575,0.976545467
ENSG00000006194,2180.171996,-0.000717908,0.069582935,-0.010317306,0.991768127,0.998624836
ENSG00000006210,83.36979036,0.584495404,0.257082408,2.273572159,0.022991723,0.48581516
ENSG00000006282,3528.73545,-0.233714733,0.118490761,-1.972430009,0.048560539,0.602910216
