Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000004897,4163.615316,0.009313759,0.088612911,0.105106113,0.916291608,0.966771694
ENSG00000004948,60.02817882,-0.204070476,0.265037488,-0.769968342,0.441318672,0.699769402
ENSG00000004961,1608.153769,0.017513243,0.081226444,0.215610116,0.82929167,0.928448825
ENSG00000004975,2950.479113,0.118009324,0.070915119,1.664092576,0.096093931,0.290644244
ENSG00000005001,7518.42614,-0.170038566,0.147470964,-1.153030819,0.248897735,0.517084905
ENSG00000005007,8383.007515,-0.151933628,0.06847377,-2.218858817,0.026496331,0.124802825
ENSG00000005020,777.4694773,0.228606896,0.17557256,1.30206506,0.192894146,0.448036328
ENSG00000005022,9535.472132,0.045622836,0.082305897,0.554308235,0.579367915,0.794369899
ENSG00000005059,203.0240573,0.274481994,0.337802344,0.81255207,0.416474921,0.679267305
ENSG00000005073,127.8503365,0.775853528,0.421772512,1.839507095,0.065840635,0.229694175
ENSG00000005075,1533.718952,0.042780207,0.077832125,0.549647168,0.5825614,0.795852646
ENSG00000005100,1257.84628,-0.100642079,0.089461363,-1.124978153,0.260598292,0.530456089
ENSG00000005102,52.06645653,4.158541929,0.862933016,4.81907848,1.44E-06,5.33E-05
ENSG00000005108,2020.052639,-0.252782357,0.148742973,-1.699457478,0.08923302,0.277891018
ENSG00000005156,2735.553675,-0.251688507,0.137850905,-1.825802363,0.067880037,0.233949751
ENSG00000005175,1437.269803,0.116282284,0.13272184,0.876135259,0.380956507,0.647790413
ENSG00000005187,94.82206417,0.080045267,0.338378854,0.23655517,0.813001902,0.921930688
ENSG00000005189,249.6833089,-0.526809244,0.248111493,-2.123276269,0.033730708,0.148294729
ENSG00000005194,2523.709315,-0.002066916,0.081236284,-0.025443264,0.979701402,0.992848887
ENSG00000005206,2065.984341,0.065185138,0.075593399,0.862312569,0.388515538,0.655119647
ENSG00000005238,2681.323103,0.310429865,0.092587847,3.35281439,0.000799943,0.00924296
ENSG00000005243,668.9462335,-0.098552873,0.149620455,-0.658685824,0.510097538,0.746853875
ENSG00000005249,350.5854072,1.169133621,0.571663748,2.045142139,0.040840847,0.168562634
ENSG00000005302,1024.942444,0.149826826,0.082381035,1.818705311,0.068956401,0.236347428
ENSG00000005339,10670.56338,-0.260148844,0.175469718,-1.482585409,0.138184596,0.366512742
ENSG00000005379,308.591424,-0.109107669,0.252771803,-0.431644935,0.665999494,0.847938634
ENSG00000005421,19.06068914,-0.427274287,0.504154328,-0.847506929,0.396712626,0.662492521
ENSG00000005436,658.8099021,-0.373753905,0.173467346,-2.154606697,0.031192625,0.1405446
ENSG00000005448,169.4073483,0.66390187,0.206121611,3.220923148,0.001277784,0.013388266
ENSG00000005469,1023.45971,-0.344502505,0.108607132,-3.172006267,0.001513897,0.015193772
ENSG00000005471,60.47119417,-0.840424382,0.272254564,-3.086906502,0.002022512,0.019101274
ENSG00000005483,5750.666557,0.036700584,0.058413068,0.628294072,0.529811314,0.760552105
ENSG00000005486,5707.214351,-0.196845204,0.091512829,-2.151012108,0.031475244,0.141418751
